                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78019,                 1.4385,                 1.5582,                0.76352,                0.61961,                0.70839,                0.49684,                 0.7908,                 1.1686,                 1.5668,               0.006535,               0.006535,               0.006535
                     37,                0.77322,                 1.4298,                 1.5496,                0.76936,                0.61779,                0.70927,                0.49829,                0.79086,                 1.1648,                 1.5659,               0.006436,               0.006436,               0.006436
                     38,                  0.769,                 1.4125,                 1.5439,                0.76399,                0.62529,                0.71145,                0.49992,                0.78876,                  1.157,                 1.5632,               0.006337,               0.006337,               0.006337
                     39,                0.76656,                  1.401,                 1.5409,                 0.7697,                0.62913,                0.71362,                0.50198,                0.78552,                 1.1495,                 1.5593,               0.006238,               0.006238,               0.006238
                     40,                0.76413,                 1.3923,                 1.5396,                0.77818,                0.62608,                0.71625,                0.50554,                0.78334,                 1.1436,                  1.557,               0.006139,               0.006139,               0.006139
                     41,                0.75889,                 1.3758,                 1.5306,                0.78005,                0.62461,                0.71856,                  0.507,                 0.7813,                 1.1379,                 1.5548,                0.00604,                0.00604,                0.00604
                     42,                0.75502,                 1.3697,                 1.5259,                0.78641,                0.62242,                0.72047,                0.50975,                0.77923,                 1.1311,                 1.5525,               0.005941,               0.005941,               0.005941
                     43,                0.75258,                 1.3583,                 1.5228,                0.78521,                0.62584,                0.72382,                0.51207,                0.77733,                 1.1245,                 1.5497,               0.005842,               0.005842,               0.005842
                     44,                0.74902,                 1.3467,                 1.5188,                0.78959,                0.62574,                0.72558,                0.51461,                0.77584,                 1.1195,                 1.5475,               0.005743,               0.005743,               0.005743
                     45,                0.74365,                 1.3334,                 1.5116,                0.77871,                0.63154,                0.72641,                0.51522,                0.77458,                 1.1147,                 1.5457,               0.005644,               0.005644,               0.005644
                     46,                0.74101,                 1.3292,                 1.5111,                0.77131,                0.63828,                0.72786,                0.51559,                0.77425,                 1.1108,                 1.5457,               0.005545,               0.005545,               0.005545
                     47,                0.73826,                 1.3217,                  1.508,                0.77932,                0.63623,                0.72922,                0.51782,                0.77309,                 1.1067,                 1.5448,               0.005446,               0.005446,               0.005446
                     48,                0.73628,                 1.3071,                 1.5036,                0.77754,                0.63732,                0.72967,                0.51916,                0.77186,                  1.103,                 1.5428,               0.005347,               0.005347,               0.005347
                     49,                0.73131,                 1.2965,                 1.4984,                 0.7739,                0.64096,                 0.7312,                0.52045,                0.77076,                 1.1007,                  1.541,               0.005248,               0.005248,               0.005248
                     50,                0.72881,                 1.2938,                 1.4968,                0.77838,                0.64294,                0.73289,                0.52192,                0.76936,                 1.0978,                 1.5395,               0.005149,               0.005149,               0.005149
                     51,                0.72682,                 1.2899,                 1.4938,                0.77692,                0.64386,                0.73338,                0.52261,                0.76854,                 1.0958,                 1.5384,                0.00505,                0.00505,                0.00505
                     52,                0.72039,                 1.2736,                 1.4861,                0.77514,                0.64646,                0.73492,                0.52404,                0.76735,                 1.0939,                 1.5369,               0.004951,               0.004951,               0.004951
                     53,                0.71844,                 1.2603,                 1.4833,                0.77846,                 0.6445,                0.73533,                0.52469,                0.76667,                 1.0914,                 1.5362,               0.004852,               0.004852,               0.004852
                     54,                0.71422,                 1.2547,                 1.4779,                0.77967,                0.64492,                0.73701,                0.52571,                0.76595,                 1.0894,                 1.5352,               0.004753,               0.004753,               0.004753
                     55,                 0.7141,                 1.2515,                 1.4771,                0.77923,                0.64692,                0.73828,                0.52677,                0.76503,                 1.0871,                 1.5339,               0.004654,               0.004654,               0.004654
                     56,                0.70903,                 1.2398,                 1.4734,                0.78302,                0.64633,                0.73886,                0.52801,                0.76435,                 1.0852,                 1.5329,               0.004555,               0.004555,               0.004555
                     57,                0.70652,                 1.2376,                 1.4695,                0.78124,                0.64826,                0.73947,                0.52889,                0.76375,                 1.0834,                 1.5318,               0.004456,               0.004456,               0.004456
                     58,                0.70499,                 1.2237,                 1.4672,                0.78392,                0.64718,                0.74009,                0.52952,                0.76289,                 1.0816,                 1.5309,               0.004357,               0.004357,               0.004357
                     59,                0.70279,                 1.2128,                 1.4649,                  0.781,                0.64802,                0.74091,                 0.5303,                 0.7626,                   1.08,                 1.5303,               0.004258,               0.004258,               0.004258
                     60,                0.70101,                 1.2116,                 1.4629,                0.77836,                0.65045,                0.74155,                0.53132,                0.76219,                  1.078,                 1.5295,               0.004159,               0.004159,               0.004159
                     61,                0.69695,                 1.1968,                   1.46,                0.78229,                0.65181,                 0.7422,                0.53246,                0.76205,                 1.0766,                 1.5291,                0.00406,                0.00406,                0.00406
                     62,                0.69606,                 1.1933,                 1.4558,                0.78009,                0.65249,                0.74279,                0.53298,                 0.7614,                 1.0751,                 1.5283,               0.003961,               0.003961,               0.003961
                     63,                0.69357,                 1.1798,                 1.4525,                 0.7831,                0.64914,                0.74356,                0.53372,                0.76092,                 1.0741,                 1.5276,               0.003862,               0.003862,               0.003862
                     64,                0.68775,                 1.1756,                 1.4458,                0.78528,                0.65114,                0.74392,                0.53479,                0.76072,                 1.0724,                 1.5271,               0.003763,               0.003763,               0.003763
                     65,                0.68259,                 1.1619,                   1.44,                 0.7804,                0.65703,                0.74465,                0.53592,                0.76035,                 1.0715,                 1.5266,               0.003664,               0.003664,               0.003664
                     66,                0.68053,                 1.1543,                 1.4369,                0.78466,                0.65501,                0.74544,                0.53662,                0.75994,                 1.0707,                  1.526,               0.003565,               0.003565,               0.003565
                     67,                0.68223,                  1.151,                 1.4386,                0.78467,                0.65728,                0.74595,                 0.5376,                0.75958,                 1.0694,                 1.5253,               0.003466,               0.003466,               0.003466
                     68,                0.67968,                  1.143,                 1.4353,                 0.7895,                0.65566,                0.74672,                0.53833,                0.75882,                 1.0687,                  1.524,               0.003367,               0.003367,               0.003367
                     69,                0.67231,                 1.1312,                 1.4274,                0.78796,                0.65865,                0.74742,                0.53926,                0.75835,                 1.0678,                 1.5233,               0.003268,               0.003268,               0.003268
                     70,                0.66888,                 1.1206,                 1.4259,                0.78247,                0.66374,                0.74911,                0.54029,                0.75805,                 1.0672,                 1.5227,               0.003169,               0.003169,               0.003169
                     71,                0.66431,                  1.111,                 1.4187,                 0.7831,                0.66672,                0.74951,                0.54132,                0.75748,                 1.0666,                 1.5217,                0.00307,                0.00307,                0.00307
                     72,                0.66789,                 1.1162,                 1.4226,                0.78501,                0.66611,                0.75074,                0.54242,                0.75731,                 1.0659,                 1.5211,               0.002971,               0.002971,               0.002971
                     73,                0.66289,                 1.1002,                 1.4176,                0.78552,                0.66649,                0.75058,                0.54263,                 0.7568,                 1.0657,                 1.5203,               0.002872,               0.002872,               0.002872
                     74,                0.65977,                 1.0898,                 1.4114,                 0.7873,                0.66638,                 0.7515,                0.54338,                0.75646,                 1.0655,                 1.5194,               0.002773,               0.002773,               0.002773
                     75,                0.65684,                 1.0773,                 1.4094,                0.78626,                0.66742,                0.75221,                0.54405,                0.75615,                 1.0657,                 1.5188,               0.002674,               0.002674,               0.002674
                     76,                0.65671,                 1.0829,                 1.4088,                0.78824,                0.66688,                 0.7532,                0.54505,                0.75582,                 1.0652,                  1.518,               0.002575,               0.002575,               0.002575
                     77,                0.65173,                 1.0672,                 1.4045,                0.79326,                0.66144,                0.75352,                0.54564,                0.75579,                  1.065,                 1.5176,               0.002476,               0.002476,               0.002476
