                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74725,                 1.3889,                 1.4631,                0.74141,                0.60772,                0.69261,                0.47877,                 0.7678,                  1.141,                 1.4495,               0.006535,               0.006535,               0.006535
                     37,                0.74297,                 1.3834,                 1.4595,                0.74891,                0.61088,                0.69526,                0.48213,                0.76421,                 1.1339,                 1.4459,               0.006436,               0.006436,               0.006436
                     38,                0.74092,                 1.3694,                 1.4556,                0.75927,                0.60711,                 0.6989,                0.48572,                0.76313,                 1.1251,                 1.4442,               0.006337,               0.006337,               0.006337
                     39,                0.73865,                 1.3599,                 1.4522,                0.74454,                0.61681,                0.69987,                0.48641,                0.76223,                 1.1181,                 1.4421,               0.006238,               0.006238,               0.006238
                     40,                0.73364,                 1.3492,                 1.4456,                0.75391,                0.61274,                0.70166,                0.48862,                0.75982,                 1.1099,                 1.4387,               0.006139,               0.006139,               0.006139
                     41,                0.73007,                 1.3369,                  1.441,                0.75887,                0.61236,                0.70323,                0.48945,                0.75801,                 1.1031,                 1.4359,                0.00604,                0.00604,                0.00604
                     42,                0.72782,                 1.3287,                 1.4394,                0.74428,                0.62308,                0.70422,                0.49149,                 0.7565,                 1.0992,                 1.4337,               0.005941,               0.005941,               0.005941
                     43,                0.72345,                 1.3227,                 1.4336,                0.73879,                0.62754,                0.70592,                0.49382,                0.75471,                 1.0955,                 1.4314,               0.005842,               0.005842,               0.005842
                     44,                0.71898,                 1.3108,                 1.4278,                 0.7581,                0.62178,                0.70759,                0.49414,                 0.7523,                 1.0906,                 1.4287,               0.005743,               0.005743,               0.005743
                     45,                0.71669,                 1.3002,                 1.4248,                0.76516,                0.61944,                 0.7089,                0.49645,                0.75059,                 1.0885,                 1.4268,               0.005644,               0.005644,               0.005644
                     46,                0.71671,                 1.2999,                 1.4246,                0.75618,                0.63108,                 0.7111,                0.49821,                0.74965,                 1.0855,                 1.4259,               0.005545,               0.005545,               0.005545
                     47,                  0.712,                  1.286,                 1.4179,                  0.763,                0.62899,                0.71259,                0.49952,                0.74842,                 1.0812,                 1.4241,               0.005446,               0.005446,               0.005446
                     48,                0.71107,                 1.2814,                 1.4165,                0.76525,                0.62862,                0.71354,                0.50094,                0.74729,                 1.0775,                 1.4224,               0.005347,               0.005347,               0.005347
                     49,                0.70441,                 1.2683,                   1.41,                0.75766,                0.62953,                0.71393,                 0.5016,                0.74612,                 1.0743,                 1.4203,               0.005248,               0.005248,               0.005248
                     50,                0.70391,                 1.2642,                 1.4098,                0.75738,                 0.6298,                0.71462,                0.50243,                0.74513,                 1.0708,                 1.4189,               0.005149,               0.005149,               0.005149
                     51,                 0.7043,                 1.2646,                 1.4091,                0.75681,                0.63364,                0.71578,                 0.5026,                0.74468,                 1.0678,                 1.4182,                0.00505,                0.00505,                0.00505
                     52,                0.69724,                 1.2468,                 1.4029,                0.75215,                0.63709,                0.71658,                0.50294,                0.74382,                 1.0658,                 1.4166,               0.004951,               0.004951,               0.004951
                     53,                 0.6948,                 1.2346,                 1.3949,                0.75404,                0.63943,                0.71734,                0.50438,                 0.7432,                 1.0626,                 1.4157,               0.004852,               0.004852,               0.004852
                     54,                0.69206,                 1.2285,                 1.3931,                0.75495,                 0.6403,                0.71792,                0.50502,                0.74226,                 1.0602,                 1.4144,               0.004753,               0.004753,               0.004753
                     55,                0.69162,                 1.2299,                 1.3934,                0.75421,                 0.6375,                0.71852,                0.50538,                0.74159,                 1.0576,                 1.4135,               0.004654,               0.004654,               0.004654
                     56,                0.68659,                 1.2149,                 1.3884,                 0.7536,                 0.6415,                0.72023,                0.50675,                0.74082,                 1.0554,                 1.4124,               0.004555,               0.004555,               0.004555
                     57,                0.68611,                 1.2154,                 1.3887,                0.74968,                0.64535,                0.72067,                0.50767,                0.74014,                 1.0531,                 1.4112,               0.004456,               0.004456,               0.004456
                     58,                0.68574,                 1.2035,                  1.386,                0.75096,                0.64422,                0.72169,                0.50864,                0.73942,                 1.0512,                 1.4097,               0.004357,               0.004357,               0.004357
                     59,                0.68312,                 1.1942,                 1.3849,                0.75163,                0.64357,                0.72209,                0.50927,                 0.7389,                 1.0493,                 1.4089,               0.004258,               0.004258,               0.004258
                     60,                0.68011,                   1.19,                 1.3785,                 0.7515,                0.64229,                0.72237,                0.50972,                0.73808,                 1.0476,                 1.4078,               0.004159,               0.004159,               0.004159
                     61,                0.67811,                 1.1841,                 1.3762,                0.75154,                 0.6425,                0.72306,                0.51095,                0.73747,                 1.0452,                 1.4066,                0.00406,                0.00406,                0.00406
                     62,                0.67717,                 1.1784,                 1.3756,                0.75593,                0.64096,                0.72355,                 0.5122,                0.73662,                 1.0437,                 1.4053,               0.003961,               0.003961,               0.003961
                     63,                0.67156,                 1.1676,                 1.3681,                0.75814,                0.64164,                0.72439,                0.51264,                 0.7364,                 1.0419,                 1.4048,               0.003862,               0.003862,               0.003862
